"target","mode","rank","candidate","score","sig_share","coint_share","n_windows","selected_for_contract"
"wealth_share_gap_top10_bottom50","least",9,"wealth_share_gap_top1_bottom50",NA,0,0,1,FALSE
"wealth_share_gap_top10_bottom50","least",10,"cc_delinquency",NA,0,0,15,FALSE
"wealth_share_gap_top10_bottom50","least",11,"transfers_total",NA,0,0,1,FALSE
"wealth_share_gap_top10_bottom50","negative",1,"total_credit",0,0,0,2,FALSE
"wealth_share_gap_top10_bottom50","negative",2,"ui_benefits",0,0,0,4,FALSE
"wealth_share_gap_top10_bottom50","negative",3,"fhfa_hpi",0,0,0,11,FALSE
"wealth_share_gap_top10_bottom50","negative",4,"credit_composite",0,0,0,2,FALSE
"wealth_share_gap_top10_bottom50","negative",5,"revolving_credit",0,0,0,2,FALSE
"wealth_share_gap_top10_bottom50","negative",6,"median_real_income_fred_q",0,0,0,7,FALSE
"wealth_share_gap_top10_bottom50","negative",7,"transfer_composite",0,0,0,1,FALSE
"wealth_share_gap_top10_bottom50","negative",8,"snap_persons",0,0,0,23,FALSE
"wealth_share_gap_top10_bottom50","negative",9,"wealth_share_gap_top1_bottom50",0,0,0,1,FALSE
"wealth_share_gap_top10_bottom50","negative",10,"cc_delinquency",0,0,0,15,FALSE
"wealth_share_gap_top10_bottom50","negative",11,"transfers_total",0,0,0,1,FALSE
"wealth_share_gap_top10_bottom50","positive",1,"total_credit",0,0,0,2,TRUE
"wealth_share_gap_top10_bottom50","positive",2,"ui_benefits",0,0,0,4,TRUE
"wealth_share_gap_top10_bottom50","positive",3,"fhfa_hpi",0,0,0,11,TRUE
"wealth_share_gap_top10_bottom50","positive",4,"credit_composite",0,0,0,2,TRUE
"wealth_share_gap_top10_bottom50","positive",5,"revolving_credit",0,0,0,2,TRUE
"wealth_share_gap_top10_bottom50","positive",6,"median_real_income_fred_q",0,0,0,7,FALSE
"wealth_share_gap_top10_bottom50","positive",7,"transfer_composite",0,0,0,1,FALSE
"wealth_share_gap_top10_bottom50","positive",8,"snap_persons",0,0,0,23,FALSE
